Atributo,mean_squared_error,r2
Clump_Thickness,0.047071292424507624,0.4731346060869697
Uniformity_of_Cell_Size,0.012139873929132523,0.9013728591492248
Uniformity_of_Cell_Shape,0.013761501013490735,0.8755335847754684
Marginal_Adhesion,0.040852168351360435,0.6388954099388697
Single_Epithelial_Cell_Size,0.021896343540529554,0.6054883283819212
Bare_Nuclei,0.07795308309091627,0.5179606036132376
Bland_Chromatin,0.031671674898318944,0.6592485107838797
Normal_Nucleoli,0.04322782228760137,0.5903872275096348
Clump_Thickness,0.06075321140844227,0.3331171239678047
Uniformity_of_Cell_Size,0.02208019131747876,0.8193596024467771
Uniformity_of_Cell_Shape,0.023929124391926106,0.7690793388812678
Marginal_Adhesion,0.07805728464853627,0.3563253365875596
Single_Epithelial_Cell_Size,0.02842961094864175,0.4806431266771599
Bare_Nuclei,0.08899425370983094,0.5003518373673288
Bland_Chromatin,0.026536507042269338,0.6060073491842692
Normal_Nucleoli,0.0697587640984992,0.4574054145681862
Clump_Thickness,0.055030871030849846,0.5353354323172191
Uniformity_of_Cell_Size,0.02963175847987168,0.7946886166959611
Uniformity_of_Cell_Shape,0.022397265680197915,0.8254878584439083
Marginal_Adhesion,0.04341598810257746,0.6127715188522579
Single_Epithelial_Cell_Size,0.022001252792709848,0.6329244125537157
Bare_Nuclei,0.0486073032565401,0.7147231838565261
Bland_Chromatin,0.0334268810300456,0.44598694226801516
Normal_Nucleoli,0.06589132712433346,0.4135881730925164
Clump_Thickness,0.049592833527287036,0.4362420104211425
Uniformity_of_Cell_Size,0.011840596924480175,0.8543619410041543
Uniformity_of_Cell_Shape,0.014450441070114242,0.8259254470550345
Marginal_Adhesion,0.05004752804408545,0.5032067914835168
Single_Epithelial_Cell_Size,0.027632425779706427,0.5761156912993788
Bare_Nuclei,0.05580893312749047,0.5884850664572737
Bland_Chromatin,0.02163044962186253,0.6729419432735505
Normal_Nucleoli,0.036872475792841655,0.42341497272235773
Clump_Thickness,0.04552027256219762,0.45820055400610954
Uniformity_of_Cell_Size,0.024916837753938142,0.7908647346784016
Uniformity_of_Cell_Shape,0.03456258450063807,0.6544903875622017
Marginal_Adhesion,0.04636940371824032,0.4302040043883003
Single_Epithelial_Cell_Size,0.02950959112559685,0.5407744599241504
Bare_Nuclei,0.08050883611454561,0.5384976581568992
Bland_Chromatin,0.03277402389032553,0.554532079983376
Normal_Nucleoli,0.04441244640238772,0.6065188568814688
Clump_Thickness,0.04796414754400451,0.5230783774630555
Uniformity_of_Cell_Size,0.00456581100631223,0.9554197831713188
Uniformity_of_Cell_Shape,0.007261942405849854,0.9272496601370361
Marginal_Adhesion,0.029282933440034062,0.5401556738768137
Single_Epithelial_Cell_Size,0.0138431815486883,0.7513365982460356
Bare_Nuclei,0.10586564333944515,0.2682499212185737
Bland_Chromatin,0.025775922125162127,0.5474090770968671
Normal_Nucleoli,0.03141453488834112,0.7334845167341932
Clump_Thickness,0.06440581880123138,0.40763664275499334
Uniformity_of_Cell_Size,0.016813981967218866,0.8215781940749654
Uniformity_of_Cell_Shape,0.016474201685902443,0.8172895858504443
Marginal_Adhesion,0.04923662772894281,0.513217097030167
Single_Epithelial_Cell_Size,0.04096693671457317,0.21586670355564752
Bare_Nuclei,0.03261418249990492,0.812635033280502
Bland_Chromatin,0.0218608395253412,0.7243149400949699
Normal_Nucleoli,0.06888856569809727,0.31471145651302357
Clump_Thickness,0.06484652121694504,0.2908856546471792
Uniformity_of_Cell_Size,0.012566916555182337,0.8887055898457341
Uniformity_of_Cell_Shape,0.015092936064953195,0.8934849139751314
Marginal_Adhesion,0.04020890266586234,0.6808509951665096
Single_Epithelial_Cell_Size,0.02343270989320896,0.6141653451337734
Bare_Nuclei,0.05054435816344462,0.7167531557249208
Bland_Chromatin,0.03166267673823201,0.6243683888301172
Normal_Nucleoli,0.0487816332663245,0.6304436074008447
Clump_Thickness,0.05727657565614885,0.4187548024125768
Uniformity_of_Cell_Size,0.01597428088130446,0.8822485080315817
Uniformity_of_Cell_Shape,0.01381540321001957,0.8901175090804279
Marginal_Adhesion,0.030510631864756554,0.6545786627224444
Single_Epithelial_Cell_Size,0.01795791258623475,0.6465937152323082
Bare_Nuclei,0.05105464677801025,0.6416578598875049
Bland_Chromatin,0.025569937838805557,0.6622084227603839
Normal_Nucleoli,0.05882974517900689,0.5440198646953633
Clump_Thickness,0.04834808872063786,0.5127280751881551
Uniformity_of_Cell_Size,0.02492828725437693,0.7736163610454295
Uniformity_of_Cell_Shape,0.026503180780571785,0.7530448964504309
Marginal_Adhesion,0.04710759613243798,0.4953127149362741
Single_Epithelial_Cell_Size,0.03951601088656103,0.5425595802350143
Bare_Nuclei,0.07867526350760067,0.5112479823656801
Bland_Chromatin,0.022909851927576063,0.7039794535356522
Normal_Nucleoli,0.0616618129440706,0.5507146901539961
