Atributo,mean_squared_error,r2
sepal_length,0.004899328841208165,0.9053627258812731
sepal_width,0.011723195017209219,0.5213213376716083
petal_length,0.0019259854346391696,0.9803157874827717
petal_width,0.0048147667130791875,0.9521623914431875
sepal_length,0.00633576977730586,0.8741820711616461
sepal_width,0.023010323943677344,0.11140107774118467
petal_length,0.003136369151035376,0.9541495683082036
petal_width,0.006569168746812455,0.922925559515943
sepal_length,0.009373381600987333,0.7889360559963007
sepal_width,0.020879283829740174,0.398141640495034
petal_length,0.004843547370867784,0.929097125643916
petal_width,0.008957938383832239,0.8887980062696688
sepal_length,0.012027677923297125,0.8334154610794413
sepal_width,0.01633962973303548,0.4802120732937165
petal_length,0.004631700012398934,0.9621606003733061
petal_width,0.010426010883618896,0.92594480924493
sepal_length,0.00882159719357219,0.7344231115377191
sepal_width,0.013103088415960553,0.6368348462984412
petal_length,0.003171347857893995,0.947553232136845
petal_width,0.007831291079384363,0.8990716662800106
sepal_length,0.004097481532780605,0.9305898910794222
sepal_width,0.014433458389446032,0.5183892360267235
petal_length,0.0010475753412049552,0.989876027878495
petal_width,0.0037815656296488745,0.9694342705748725
sepal_length,0.009081727687522297,0.8660886026657817
sepal_width,0.02209716845607356,0.46630767202625156
petal_length,0.002098451710644258,0.9778525826563893
petal_width,0.0060844170249219525,0.9436756823978654
sepal_length,0.009314959469792442,0.7067959648757044
sepal_width,0.00794074770431275,0.43267866456508663
petal_length,0.002711547287985834,0.9355540564231137
petal_width,0.004544510582165062,0.912277543722283
sepal_length,0.006849671824692491,0.84619095148003
sepal_width,0.021940866170557734,0.44956712045987546
petal_length,0.002952230619196679,0.9631159542714895
petal_width,0.00581553408622011,0.9226664049277524
sepal_length,0.00659923440055783,0.8524960331747155
sepal_width,0.013174129946714165,0.5560667599859188
petal_length,0.003813538732506679,0.9614817539233527
petal_width,0.0072812438581947156,0.9311204960567858
