Atributo,mean_squared_error,r2
A,0.0025303006697568763,0.934681289788279
P,0.0012967379150783942,0.9649424162442614
C,0.0028673921248996742,0.9368101566092166
LK,0.002178324916367227,0.9342976438342732
WK,0.00215760858250934,0.9509564481739987
AC,0.040805904605489426,0.23248967684334376
LKG,0.0065368810656934,0.7362718374185313
A,0.0016982311558035451,0.9685238464555934
P,0.0011347195743314424,0.9786205540987075
C,0.004757931908883956,0.8143270680698453
LK,0.0032006832728196785,0.9385152457523304
WK,0.0022772870688680495,0.9498496237349182
AC,0.04284691658092821,0.0867501122480463
LKG,0.00894375313114937,0.8710719050884708
A,0.002339014717789662,0.9735189500681553
P,0.0016009410355807595,0.9810369675767726
C,0.0037660715975222627,0.9111883914522575
LK,0.0013848197485159227,0.9826069026568947
WK,0.0017295427882744903,0.9779468317940252
AC,0.029857259507499206,0.06033931879053311
LKG,0.00510796470740137,0.9335179851821789
A,0.004277150463783221,0.9575816791522892
P,0.003945238331538352,0.9595321185057084
C,0.003164091065700204,0.9360287077109879
LK,0.001692999665196873,0.9774558210540364
WK,0.0021325989540815155,0.9771983309854665
AC,0.02269898428362412,0.431810121201871
LKG,0.00627535217561165,0.8916959459863144
A,0.0035243204833464888,0.9664173912182199
P,0.0022416162182674953,0.9783456802589835
C,0.0021860080636245294,0.9534413945344301
LK,0.0024195464294519487,0.974189469289506
WK,0.0028192459345685508,0.9694661804080208
AC,0.03029104518609327,0.25053234843044037
LKG,0.002263174873539611,0.9707396660422191
A,0.0036891577248999506,0.9450412775214819
P,0.002036565323936169,0.9686975089206769
C,0.005953060569327744,0.8566779059717116
LK,0.001286680098874902,0.9745588899542391
WK,0.0029065486820170163,0.9534820795776966
AC,0.020387725734124545,0.40649663770154587
LKG,0.004204825928595631,0.8968978436607457
A,0.001638087576291583,0.9788017421685803
P,0.0014179334081103221,0.9819300474949825
C,0.0025254801924121375,0.9397163177820308
LK,0.0016654814368354078,0.977586315108585
WK,0.004013852946988515,0.9452323869854173
AC,0.03386493007434615,0.038345217699234824
LKG,0.004781268084993415,0.9378668984753644
A,0.0024807094568727785,0.9663693325187129
P,0.0016508218296958175,0.9769039500429555
C,0.0030236860838356206,0.908380098728622
LK,0.001741871881464535,0.9693728844233961
WK,0.002095261626406736,0.9705014028683878
AC,0.02855406249377176,-0.00860294930682759
LKG,0.004520363139207075,0.9133714460117736
A,0.002112623325346221,0.9626019653451586
P,0.0013065168323124568,0.9756458783042805
C,0.004785940921209434,0.8739645584650529
LK,0.001848186321242613,0.9583245575975349
WK,0.001713788477113903,0.9667481025729564
AC,0.031876123780145475,0.1494599885780139
LKG,0.006797194023952041,0.8504739988653311
A,0.0020516305889317376,0.9639444961913062
P,0.0010242663884063477,0.9800289860456295
C,0.0023174040368639927,0.953155363397785
LK,0.0021803741319730307,0.9420099727350666
WK,0.003038671586760605,0.9567712212641167
AC,0.01595384406520906,-0.060751443379218006
LKG,0.003220709558268411,0.9108101044377587
