Atributo,mean_squared_error,r2
RI,0.0070841909754716095,0.43272655007359706
Na,0.002304992233172473,0.7821097091957361
Mg,0.004392820340268198,0.9571993008976886
Al,0.0029816491996901627,0.8320221545928499
Si,0.004223601266905013,0.6876567921166968
K,0.004843507990115009,0.13036120342997404
Ca,0.003880021979651005,0.7896324746741681
Ba,0.0016969757145913953,0.9519577296753577
Fe,0.036906564677606085,-0.011286175698598246
RI,0.0030202645731103052,0.8355244585180451
Na,0.007722204807922967,0.7097769861865518
Mg,0.004765530547451918,0.9498616438635992
Al,0.004198218124536,0.7760786939567591
Si,0.00276289807725948,0.90114513926037
K,0.0014686539010663592,0.19053900651292566
Ca,0.0024718156254532665,0.7956650004762963
Ba,0.006533734252393844,0.813163016701466
Fe,0.027243460987756343,-0.005684583296793333
RI,0.007123983969600947,0.5045658586965016
Na,0.0035491361365175595,0.7334261556529882
Mg,0.007181129469841985,0.9350054545933202
Al,0.004574114608331547,0.8797852312033269
Si,0.008364346623684247,0.5955968347312964
K,0.01785674281581929,0.577183311163918
Ca,0.002174422575194408,0.8836766652750956
Ba,0.0061427940772794285,0.7796223751608684
Fe,0.04082250275237988,0.031953785689870395
RI,0.0037010230767868086,0.6989540774343118
Na,0.0016020060406448154,0.8706865639418249
Mg,0.004417093113212652,0.9537727138547614
Al,0.0035524473428813924,0.8023020057185802
Si,0.0017640572983264088,0.8166015870130562
K,0.0029547666988765705,-1.0356768228557476
Ca,0.0014739949366144364,0.9097904762104088
Ba,0.0026295100567437263,0.8194134173781327
Fe,0.047338900007202714,-0.07263464212025372
RI,0.00651715151811967,0.7587311936488021
Na,0.003665543319781766,0.6465957237471784
Mg,0.005195707285144589,0.951354266719715
Al,0.0034847498074986414,0.8647426668389682
Si,0.0017374722295616222,0.920567157948509
K,0.002083866158119237,-0.11687904234633349
Ca,0.0014921298401707988,0.9232828954684814
Ba,0.0024307645257372586,0.7425446475545001
Fe,0.028277999386879967,0.0006231559491257643
