atr,metric,mean,sd
A,mean_squared_error,0.0027289998860694437,0.000346376122647056
AC,mean_squared_error,0.027916704021981664,0.003269143039275351
C,mean_squared_error,0.0031958077309546637,0.0003906801432257253
LK,mean_squared_error,0.002186586532207638,0.0005250034834069783
LKG,mean_squared_error,0.00519968305770723,0.00046595819744602555
P,mean_squared_error,0.0016724737335341879,0.00036822735957249276
WK,mean_squared_error,0.002623104453749346,0.00033034949508854407
A,r2,0.9638451182639524,0.004151420066792823
AC,r2,0.2728524601149945,0.03620323737681643
C,r2,0.9304392855640634,0.008026017515591923
LK,r2,0.9638203078779362,0.007737810503155369
LKG,r2,0.9075807117268772,0.012261252390171753
P,r2,0.9768663306508794,0.0045837702381931016
WK,r2,0.9644349468007581,0.004024119902369416
