Atributo,metric,mean,sd
A,mean_squared_error,0.0026341226162822063,0.0008947831640172351
AC,mean_squared_error,0.029713679631123122,0.008463250835754199
C,mean_squared_error,0.0035347066564279557,0.0012528629804839247
LK,mean_squared_error,0.0019598967902742137,0.0005626339715558845
LKG,mean_squared_error,0.005265148668841198,0.0019335207706505872
P,mean_squared_error,0.0017655356857257556,0.0008557108915033433
WK,mean_squared_error,0.0024884406647588723,0.0007090795226245739
A,r2,0.9617481970427777,0.013136424637256878
AC,r2,0.15868690288069837,0.16847086167705302
C,r2,0.9083689962721939,0.04630985148275348
LK,r2,0.9628917702405863,0.018230743593920237
LKG,r2,0.8912717631168687,0.06435184689659255
P,r2,0.9745684107492958,0.007574624738022361
WK,r2,0.9618152608365005,0.011954316858577533
