Atributo,metric,mean,sd
Al,mean_squared_error,0.003758235816587549,0.0006283854113414608
Ba,mean_squared_error,0.0038867557253491306,0.002268915925508512
Ca,mean_squared_error,0.0022984769914167827,0.000984465174226126
Fe,mean_squared_error,0.036117885562365,0.0084983208576406
K,mean_squared_error,0.005841507512799293,0.006836242978073388
Mg,mean_squared_error,0.005190456151183869,0.0011594915782453235
Na,mean_squared_error,0.0037687765076079164,0.0023730809598495268
RI,mean_squared_error,0.005489322822617868,0.0019727150033735778
Si,mean_squared_error,0.003770475099147354,0.0027605707481465256
Al,r2,0.8309861504620969,0.04289386588780082
Ba,r2,0.821340237294065,0.07918433221123317
Ca,r2,0.86040950242089,0.06351012356647545
Fe,r2,-0.011405691895329828,0.03810008920688468
K,r2,-0.050894468819052685,0.6041058864568554
Mg,r2,0.9494386759858169,0.008531961273975413
Na,r2,0.7485190277448559,0.08392011268263115
RI,r2,0.6461004276742516,0.1709686426337737
Si,r2,0.7843135022139857,0.13983357137017854
